r,General Category,Primary Access Models,Skills Required,Target Audience,Membership Entry,Material Cost,Materials Needed (bring your own design/materials),Technologies,Business Structure,Business Model,GTA Area,Address,Postal Code,Phone Number,Email Address,Potential Classification,Technology (Alphabetical),Notes,Link
,,,,,,,,,,,,,,,,,,,
Hazel McCallion Central Library,Library,"Multiple:, Appointment Based, Walk In",Training Offered,Public,No Membership,Cost Per Materials Used ,Materials Provided,"Digital Fabrication, Textile Work, A/V Equipment, Woodwork Machinery, Microelectronics, Software, Dedicated Computers",Government,Non-profit,Mississauga,301 Burnhamthorpe Road West,"L5B 3Y3
",905-615-3500,maker@mississauga.ca,Educational,"Cameras
Lights
Green screens 
Audio equipment
Electronic instruments
Computers equipped with Adobe Creative Cloud
Cricut machines
Button makers
Sewing machines
iMacs equipped with Adobe Creative Cloud
3D printers
Laser cutter
Vinyl cutter
Vinyl cutter/printer",,https://www.mississauga.ca/library/locations/hazel-mccallion-central-library/makerspace/
Burnhamthorpe Library,Library,Walk In,None,Non-specific,No Membership,Free Use,No Materials Provided,Dedicated Computers,Public,Non-profit,Mississauga,3650 Dixie Road, L4Y 4H5,905-615-3200,Burnhamthorpe.Library@mississauga.ca,Educational,"iMacs with Adobe Creative Cloud and drawing tablets to explore your creativity
Cameras, lights, green screens and audio equipment to make your own films
A variety of robots to explore robotics and coding
Sewing machines to develop your own designs and repair your own textiles
Button makers and Cricut machines to support your small business, club, or gathering
Digitization equipment to convert your old photos, videos, and DVDs","Burnhamthrope Library is a library that offers a wide range of services and resources to the Mississauga community, focusing on accessibility and inclusivity for all patrons. Free public access; library card required for borrowing and some services. ",https://www.mississauga.ca/library/locations/burnhamthorpe-library/
Courtneypark Library,Library,Walk In,None,Public,Membership Needed,Cost Per Materials Used ,Materials Provided,"Software, Microelectronics, Dedicated Computers, Automated Fabrication, A/V Equipment, Digital Fabrication, Textile Work",Public,Non-profit,Mississauga,730 Courtneypark Drive West,L5W 1L9,905-615-4745,maker@mississauga.ca,Educational,"Audio equipment
Button makers
Computers and iMacs equipped with Adobe Creative Cloud and creative software
Cricut
Digitization equipment and conversion tools
Electronic instruments
Epson Photo Scanner
Sewing machine
Snap Circuits
Squishy Circuits
3D Printers",,https://www.mississauga.ca/library/locations/courtneypark-library/
Malton Library,Library,Walk In,None,Non-specific,No Membership,Free Use,No Materials Provided,Digital Fabrication,Public,Non-profit,Mississauga,3540 Morning Star Drive,L4T 1Y2,905-615-4640,merley.wheaton@mississauga.ca,Educational,"iMacs with Adobe Creative Cloud and drawing tablets to explore your creativity
Cameras, lights, green screen, and audio equipment to make your own films
Sewing machines to develop your own designs and repair your own textiles
Button makers and Cricut machines to support your small business, club, or gathering
Recording studios to write your own songs or work on a podcast
Digitization equipment to convert your old photos, videos, and DVDs","public library that serves the diverse and vibrant nearby communities. It offers a wide range of services and resources, focusing on accessibility and inclusivity for all patrons. ",https://www.mississauga.ca/library/locations/malton-library/
Meadowvale Library,Library,Walk In,None,Public,No Membership,Cost Per Materials Used ,Materials Provided,Software,Public,Non-profit,Mississauga,6655 Glen Erin Drive,L5N 3L4,905-615-4710,maker@mississauga.ca,Educational,"iMacs with Adobe Creative Cloud and drawing tablets to explore your creativity
Cameras, lights and audio equipment to make your own films
Sewing machines to develop your own designs and repair your own textiles
Button makers and Cricut machines to support your small business, club, or gathering
Digitization equipment to convert your old photos, videos, and DVDs",,https://www.mississauga.ca/library/locations/meadowvale-library/
Design With,Pop-up,Multiple:,Training Offered,Public,No Membership,Free Use,Materials Provided,"Automated Fabrication, Woodwork Machinery, Textile Work",Private,Non-profit,City of Toronto,"220 Yonge St, Toronto",M5B 2H1,Website inquiry,"Linkedin, instagram",Boutique,"3D Printers
Embroidery machine
Industrial sewing machine
Serger","- Most technologies and workshops offered fall under the boutique category (sewing, mending, etc.)
- Collaberates with other organizations/schools/makerspaces to hold workshops or to make innovate or interesting products in other makerspace locations. 
- Access mose includes classes, (free) workshops, and appointments",https://www.designwith.ca/history
Brampton Makerspaces at Chinguacousy,Library,Walk In,Training Offered,Public,Membership Needed,Free Use,Materials Provided,"Digital Fabrication, A/V Equipment",Public,Non-profit,Brampton,9050 Bramalea Rd,L6S 6G7,905-793-4636,Website Inquiry https://www.bramptonlibrary.ca/index.php/ask-a-question,Educational,"3D Printers - Lulzbot Mini
Desktop Cutting Machines (for vinyl and paper cutting)
Video and Photo Digitizing Tools 
Button Makers ",,https://www.bramptonlibrary.ca/index.php/library-services/makerspace-brampton
Brampton Makerspaces Four Corners,Library,Walk In,Training Offered,Public,Membership Needed,Free Use,Materials Provided,"A/V Equipment, Digital Fabrication",Public,Non-profit,Brampton,65 Queen Street East,L6W 3L6,905-793-4636,Website Inquiry https://www.bramptonlibrary.ca/index.php/ask-a-question,Educational,"3D Printers - Lulzbot Mini
Desktop Cutting Machines (for vinyl and paper cutting)
Video and Photo Digitizing Tools 
Button Makers ",,https://www.bramptonlibrary.ca/index.php/library-services/makerspace-brampton
Brampton Makerspaces Springdale branches,Library,Walk In,None,Public,Membership Needed,Free Use,Materials Provided,"Digital Fabrication, Textile Work, Automated Fabrication, Software, Dedicated Computers, A/V Equipment",Public,Non-profit,Brampton,10705 Bramalea Road,L6R 0C1,905-793-4636,Website Inquiry https://www.bramptonlibrary.ca/index.php/ask-a-question,Educational,"Button Makers 
Canon 9000F Mark II Scanner 
Cricut Maker 3 
Elgato Video Capture Device (converts analog video from VHS to a high-quality digital file)
VHS-C Cassette Adapter
3D Printers",,
TTL Makerspace ,Business,Class/Workshop Only,Training Offered,Students,Membership Needed,Free Use,Materials Provided,"Woodwork Machinery, Software",Private,Profit,City of Toronto,192 Spadina Ave,M5T 2G7,(647) 715-4767,support@ttlmakerspace.com,Educational,"3D printers, a fleet of Creality Ender 3's
CNC Machine (4×8 foot work area, can cut woods and some plastics)
Full Wood Shop (table saw, jointer, 13″ helical thickness planer, wood lathes, 18"" band saw, miter saw, router, track saw)",,https://makerspace.cobot.me/ & https://ttlmakerspace.com/ 
